wine_name,grape,region,country,year,price,rating,review
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Recomendo demais!
Pinot Noir fromNapa Valley,Pinot Noir, Napa Valley,United States,2018,13.86,4.0,a little too sweet for me but grows on you
Merlot fromSaint-Émilion Grand Cru,Merlot, Saint-Émilion Grand Cru,France,2015,23.66,4.1,Excellent en apéro. 
Merlot fromVino d'Italia,Merlot, Vino d'Italia,Italy,2020,9.66,4.1,"Подышать 10 минут минимум, лучше 20. После этого начнет раскрываться черная смородина, резиново-дымные нотки, приторная сладость сахарной ваты и звёздная пыль. И вот вроде глубокое, полнотелое, нетривиальное на вкус и даже созвучное интригующему названию, но мне почему-то не зашло. 

4 поставлю, заслужило, но второй раз не возьму. Разочарован своим разочарованием, если можно так сказать.

P.S. Девочкам понравится.

"
Shiraz/Syrah fromVino de España,Shiraz/Syrah, Vino de España,Spain,2019,13.72,4.2,"Weinig tannines, niet straf, met een Toets vanille, lekker bij pizza "
Shiraz/Syrah fromVino de España,Shiraz/Syrah, Vino de España,Spain,2019,13.72,4.2,♥️
Shiraz/Syrah fromVino de España,Shiraz/Syrah, Vino de España,Spain,2019,13.72,4.2,🙏🏼 
Shiraz/Syrah fromBarossa Valley,Shiraz/Syrah, Barossa Valley,Australia,2019,27.86,4.0,"Fruity light, your go to wine for fine dining "
Montepulciano fromBiferno,Montepulciano, Biferno,Italy,2015,9.66,4.0,Super
Merlot fromVino d'Italia,Merlot, Vino d'Italia,Italy,2020,9.66,4.1,"3,35⭐ это пожалуй максимум! Да, с учётом цены многие ставят более высокие оценки, но это не правильно. Песня из 3х блатных аккордов, вот такая ассоция. Просто, но заходит не плохо. Хороший винный материал, я бы так описал. Нет ничего выраженного и Астрального, но и сильно отталкивающего тоже. 🤷‍♂️"
Merlot fromVino d'Italia,Merlot, Vino d'Italia,Italy,2020,9.66,4.1,Bit of bite in the end / after a few glasses .. not as smooth as 4stars would make you think 
Shiraz/Syrah fromVino de España,Shiraz/Syrah, Vino de España,Spain,2019,13.72,4.2,Очень мягкое для Темпранильо
Shiraz/Syrah fromVino de España,Shiraz/Syrah, Vino de España,Spain,2019,13.72,4.2,Пьется как полусухое. Красные ягоды вишня ежевика малина
